Term,Lang,Type,kyotoDomainRelevance,kyotoDomainRelevance.raw,termFrequency,hyponymCount,localDocFrequency
eqod,,SingleWord,2.4994792968420665,4.0,4,0,4
eqoc,,SingleWord,2.4994792968420665,4.0,4,0,4
categorize,,SingleWord,2.4994792968420665,4.0,4,0,4
assessmentreport,,SingleWord,2.4994792968420665,4.0,2,1,2
eqtd,,SingleWord,2.4994792968420665,4.0,4,0,4
eqtc,,SingleWord,2.4994792968420665,4.0,4,0,4
eqtb,,SingleWord,2.4994792968420665,4.0,4,0,4
eqta,,SingleWord,2.4994792968420665,4.0,4,0,4
eqsl,,SingleWord,2.4994792968420665,4.0,4,0,4
eqse,,SingleWord,2.4994792968420665,4.0,4,0,4
eqie,,SingleWord,2.4994792968420665,4.0,4,0,4
physicalsettlementterms,,SingleWord,2.4994792968420665,4.0,4,0,4
lowprice,,SingleWord,2.4994792968420665,4.0,4,0,4
soberano,,SingleWord,2.4994792968420665,4.0,4,0,4
knl,,SingleWord,2.4994792968420665,4.0,4,0,4
eqld,,SingleWord,2.4994792968420665,4.0,4,0,4
consumer goods,,MultiWord,2.4994792968420665,4.0,4,0,4
debitcard,,SingleWord,2.4994792968420665,4.0,2,1,2
statisticalswap,,SingleWord,2.4994792968420665,4.0,2,1,2
jct,,SingleWord,2.4994792968420665,4.0,4,0,4
hasmeasurewithinscale,,SingleWord,2.4994792968420665,4.0,4,0,4
financialinstitution,,SingleWord,2.4994792968420665,4.0,4,0,4
cioi,,SingleWord,2.4994792968420665,4.0,4,0,4
mxn-tiie-banxico-reference,,SingleWord,2.4994792968420665,4.0,4,0,4
lchc,,SingleWord,2.4994792968420665,4.0,4,0,4
cimv,,SingleWord,2.4994792968420665,4.0,4,0,4
eotc,,SingleWord,2.4994792968420665,4.0,4,0,4
bank deposit,,MultiWord,2.4994792968420665,4.0,4,0,4
nilx,,SingleWord,2.4994792968420665,4.0,4,0,4
cime,,SingleWord,2.4994792968420665,4.0,4,0,4
cima,,SingleWord,2.4994792968420665,4.0,4,0,4
cimb,,SingleWord,2.4994792968420665,4.0,4,0,4
skk-bribor-reference,,SingleWord,2.4994792968420665,4.0,4,0,4
citx,,SingleWord,2.4994792968420665,4.0,4,0,4
citd,,SingleWord,2.4994792968420665,4.0,4,0,4
cisd,,SingleWord,2.4994792968420665,4.0,4,0,4
liability partnership,,MultiWord,2.4994792968420665,4.0,2,1,2
londonstockexchangelegaladdress,,SingleWord,2.4994792968420665,4.0,4,0,4
rural route,,MultiWord,2.4994792968420665,4.0,4,0,4
ldfx,,SingleWord,2.4994792968420665,4.0,4,0,4
wder,,SingleWord,2.4994792968420665,4.0,4,0,4
spglobaldateestablished,,SingleWord,2.4994792968420665,4.0,4,0,4
chf-basis,,SingleWord,2.4994792968420665,4.0,4,0,4
jurisdictionofhaiti jurisdiction,,MultiWord,2.4994792968420665,4.0,2,1,2
ppex,,SingleWord,2.4994792968420665,4.0,4,0,4
zar-prime-average-reference,,SingleWord,2.4994792968420665,4.0,4,0,4
equitylinkedbond,,SingleWord,2.4994792968420665,4.0,2,1,2
finy,,SingleWord,2.4994792968420665,4.0,4,0,4
jurisdictionofmongolia jurisdiction,,MultiWord,2.4994792968420665,4.0,2,1,2
finr,,SingleWord,2.4994792968420665,4.0,4,0,4
fino,,SingleWord,2.4994792968420665,4.0,4,0,4
hotc,,SingleWord,2.4994792968420665,4.0,4,0,4
finc,,SingleWord,2.4994792968420665,4.0,4,0,4
face-amount certificate,,MultiWord,2.4994792968420665,4.0,2,1,2
businesslicense,,SingleWord,2.4994792968420665,4.0,2,1,2
queen elizabeth ii,,MultiWord,2.4994792968420665,4.0,4,0,4
datedcollectionconstituent,,SingleWord,2.4994792968420665,4.0,4,0,4
ethiopian,,SingleWord,2.4994792968420665,4.0,4,0,4
equation,,SingleWord,2.4994792968420665,4.0,2,1,2
taxauthority,,SingleWord,2.4994792968420665,4.0,4,0,4
hasaddress,,SingleWord,2.4994792968420665,4.0,4,0,4
lempira,,SingleWord,2.4994792968420665,4.0,7,0,4
stock date,,MultiWord,2.4994792968420665,4.0,2,1,2
hasexerciseterm,,SingleWord,2.4994792968420665,4.0,4,0,4
debenture,,SingleWord,2.4994792968420665,4.0,4,0,4
limited partner,,MultiWord,2.4994792968420665,4.0,4,0,4
rate-icap per 2006 isda definition or annex,,MultiWord,2.4994792968420665,4.0,4,0,4
hasfundidentification,,SingleWord,2.4994792968420665,4.0,2,1,2
welfare cost,,MultiWord,2.4994792968420665,4.0,1,3,1
spex,,SingleWord,2.4994792968420665,4.0,4,0,4
top level,,MultiWord,2.4994792968420665,4.0,2,1,2
usd-ba-h,,SingleWord,2.4994792968420665,4.0,4,0,4
spdx,,SingleWord,2.4994792968420665,4.0,4,0,4
loanmarketcategory,,SingleWord,2.4994792968420665,4.0,2,1,2
hpcs,,SingleWord,2.4994792968420665,4.0,4,0,4
hpcx,,SingleWord,2.4994792968420665,4.0,4,0,4
hedge,,SingleWord,2.4994792968420665,4.0,2,1,2
control flow,,MultiWord,2.4994792968420665,4.0,2,1,2
jurisdictionofsaintlucia jurisdiction,,MultiWord,2.4994792968420665,4.0,2,1,2
jurisdictionofsweden jurisdiction,,MultiWord,2.4994792968420665,4.0,2,1,2
commoditytradingadvisor,,SingleWord,2.4994792968420665,4.0,4,0,4
hasrecurrencestartdate,,SingleWord,2.4994792968420665,4.0,4,0,4
dcse,,SingleWord,2.4994792968420665,4.0,4,0,4
letterofcreditguaranty,,SingleWord,2.4994792968420665,4.0,2,1,2
dbes,,SingleWord,2.4994792968420665,4.0,4,0,4
tradedinstrumentissuanceprocessinformation,,SingleWord,2.4994792968420665,4.0,2,1,2
utus,,SingleWord,2.4994792968420665,4.0,4,0,4
mic-icbx,,SingleWord,2.4994792968420665,4.0,2,1,2
investment grade,,MultiWord,2.4994792968420665,4.0,3,1,2
dbix,,SingleWord,2.4994792968420665,4.0,4,0,4
commoninterestdevelopmentcorporation,,SingleWord,2.4994792968420665,4.0,4,0,4
dbhk,,SingleWord,2.4994792968420665,4.0,4,0,4
mic-botc,,SingleWord,2.4994792968420665,4.0,2,1,2
americanbankersassociation,,SingleWord,2.4994792968420665,4.0,4,0,4
gross output,,MultiWord,2.4994792968420665,4.0,4,0,4
callfeature,,SingleWord,2.4994792968420665,4.0,4,0,4
jurisdictionofperu jurisdiction,,MultiWord,2.4994792968420665,4.0,2,1,2
swaplifecycleeventidentifier,,SingleWord,2.4994792968420665,4.0,2,1,2
utsl,,SingleWord,2.4994792968420665,4.0,4,0,4
hasprimaryaccountholder,,SingleWord,2.4994792968420665,4.0,4,0,4
dbag,,SingleWord,2.4994792968420665,4.0,4,0,4
dbab,,SingleWord,2.4994792968420665,4.0,4,0,4
restrictedvotingshare,,SingleWord,2.4994792968420665,4.0,2,1,2
creation network,,MultiWord,2.4994792968420665,4.0,2,1,2
fhfa,,SingleWord,2.4994792968420665,4.0,5,0,4
organization at the top of the hierarchy,,MultiWord,2.4994792968420665,4.0,2,1,2
usbankholdingcompany,,SingleWord,2.4994792968420665,4.0,4,0,4
jurisdictionofmaldives jurisdiction,,MultiWord,2.4994792968420665,4.0,2,1,2
brokerage firm,,MultiWord,2.4994792968420665,4.0,4,0,4
zloty,,SingleWord,2.4994792968420665,4.0,7,0,4
governmentofthedemocraticrepublicoftimor-leste,,SingleWord,2.4994792968420665,4.0,4,0,4
zbul,,SingleWord,2.4994792968420665,4.0,4,0,4
fee leg,,MultiWord,2.4994792968420665,4.0,4,0,4
dbot,,SingleWord,2.4994792968420665,4.0,4,0,4
dbox,,SingleWord,2.4994792968420665,4.0,4,0,4
contract party,,MultiWord,2.4994792968420665,4.0,4,0,4
import dependency,,MultiWord,2.4994792968420665,4.0,2,1,2
jurisdictionoficeland jurisdiction,,MultiWord,2.4994792968420665,4.0,2,1,2
dbln,,SingleWord,2.4994792968420665,4.0,4,0,4
dblx,,SingleWord,2.4994792968420665,4.0,4,0,4
obkl,,SingleWord,2.4994792968420665,4.0,4,0,4
dbsx,,SingleWord,2.4994792968420665,4.0,4,0,4
actualclosingdate,,SingleWord,2.4994792968420665,4.0,4,0,4
uswb,,SingleWord,2.4994792968420665,4.0,4,0,4
bylaws,,SingleWord,2.4994792968420665,4.0,4,0,4
mandatorycorporateaction,,SingleWord,2.4994792968420665,4.0,4,0,4
hmod,,SingleWord,2.4994792968420665,4.0,4,0,4
jpy-stpr-quoting,,SingleWord,2.4994792968420665,4.0,4,0,4
daiw,,SingleWord,2.4994792968420665,4.0,4,0,4
hmtf,,SingleWord,2.4994792968420665,4.0,4,0,4
internal rate,,MultiWord,2.4994792968420665,4.0,2,1,2
family name,,MultiWord,2.4994792968420665,4.0,4,0,4
loanproductdisclosureright,,SingleWord,2.4994792968420665,4.0,2,1,2
mortgageindemnityinsurancepolicy,,SingleWord,2.4994792968420665,4.0,2,1,2
decree,,SingleWord,2.4994792968420665,4.0,2,1,2
smff,,SingleWord,2.4994792968420665,4.0,4,0,4
smfe,,SingleWord,2.4994792968420665,4.0,4,0,4
smex,,SingleWord,2.4994792968420665,4.0,4,0,4
falkland,,SingleWord,2.4994792968420665,4.0,4,0,4
brl-cdi,,SingleWord,2.4994792968420665,4.0,4,0,4
hasapplicationdate,,SingleWord,2.4994792968420665,4.0,2,1,2
governmentguaranty,,SingleWord,2.4994792968420665,4.0,2,1,2
chinese,,SingleWord,2.4994792968420665,4.0,4,0,4
fgex,,SingleWord,2.4994792968420665,4.0,4,0,4
collection constituent,,MultiWord,2.4994792968420665,4.0,2,1,2
reston,,SingleWord,2.4994792968420665,4.0,4,0,4
voluntarycorporateaction,,SingleWord,2.4994792968420665,4.0,4,0,4
ustreasurybillauctiondaterule,,SingleWord,2.4994792968420665,4.0,4,0,4
single cent,,MultiWord,2.4994792968420665,4.0,1,3,1
banks-libor,,MultiWord,2.4994792968420665,4.0,2,1,2
valueaddedproducerpriceindex,,SingleWord,2.4994792968420665,4.0,4,0,4
caspian,,SingleWord,2.4994792968420665,4.0,4,0,4
consumerfinancecompany,,SingleWord,2.4994792968420665,4.0,4,0,4
moroccan,,SingleWord,2.4994792968420665,4.0,4,0,4
jurisdictionofromania jurisdiction,,MultiWord,2.4994792968420665,4.0,2,1,2
entityexpirationreasonother,,SingleWord,2.4994792968420665,4.0,4,0,4
zapa,,SingleWord,2.4994792968420665,4.0,4,0,4
stripbond,,SingleWord,2.4994792968420665,4.0,2,1,2
jurisdictionoftherepublicofthephilippines jurisdiction,,MultiWord,2.4994792968420665,4.0,2,1,2
oapa,,SingleWord,2.4994792968420665,4.0,4,0,4
dapa,,SingleWord,2.4994792968420665,4.0,4,0,4
currencyspotcontract,,SingleWord,2.4994792968420665,4.0,4,0,4
anomaly,,SingleWord,2.4994792968420665,4.0,2,1,2
cad-isda-swap,,SingleWord,2.4994792968420665,4.0,4,0,4
given leg,,MultiWord,2.4994792968420665,4.0,2,1,2
jurisdictionofbermuda jurisdiction,,MultiWord,2.4994792968420665,4.0,2,1,2
security service,,MultiWord,2.4994792968420665,4.0,2,1,2
mbank,,SingleWord,2.4994792968420665,4.0,4,0,4
guilder,,SingleWord,2.4994792968420665,4.0,4,0,4
security classification,,MultiWord,2.4994792968420665,4.0,4,0,4
institution directory,,MultiWord,2.4994792968420665,4.0,2,1,2
automation,,SingleWord,2.4994792968420665,4.0,4,0,4
totalcontrollinginterestparty,,SingleWord,2.4994792968420665,4.0,4,0,4
japanesedepositaryreceipt,,SingleWord,2.4994792968420665,4.0,4,0,4
slip,,SingleWord,2.4994792968420665,4.0,4,0,4
ibercaja,,SingleWord,2.4994792968420665,4.0,4,0,4
non-business date,,MultiWord,2.4994792968420665,4.0,4,0,4
slhb,,SingleWord,2.4994792968420665,4.0,4,0,4
usexampleentity,,SingleWord,2.4994792968420665,4.0,4,0,4
swapmarker per 2006 isda definition or annex,,MultiWord,2.4994792968420665,4.0,2,1,2
jser,,SingleWord,2.4994792968420665,4.0,4,0,4
northeastern coast,,MultiWord,2.4994792968420665,4.0,2,1,2
poolbackeddealprospectus,,SingleWord,2.4994792968420665,4.0,2,1,2
hongkongdepositaryreceipt,,SingleWord,2.4994792968420665,4.0,4,0,4
smbp,,SingleWord,2.4994792968420665,4.0,4,0,4
familyabbreviation,,SingleWord,2.4994792968420665,4.0,2,1,2
subsidy,,SingleWord,2.4994792968420665,4.0,4,0,4
smbg,,SingleWord,2.4994792968420665,4.0,4,0,4
smbd,,SingleWord,2.4994792968420665,4.0,4,0,4
smbe,,SingleWord,2.4994792968420665,4.0,4,0,4
smbb,,SingleWord,2.4994792968420665,4.0,4,0,4
nationalsecuritiesidentifyingnumberregistryentry,,SingleWord,2.4994792968420665,4.0,2,1,2
pellet,,SingleWord,2.4994792968420665,4.0,8,0,4
repurchaseagreement,,SingleWord,2.4994792968420665,4.0,4,0,4
jurisdictionofindonesia jurisdiction,,MultiWord,2.4994792968420665,4.0,2,1,2
absolute deviation,,MultiWord,2.4994792968420665,4.0,2,1,2
riyal,,SingleWord,2.4994792968420665,4.0,4,0,4
government authority,,MultiWord,2.4994792968420665,4.0,2,1,2
tucuman,,SingleWord,2.4994792968420665,4.0,5,0,4
european commission,,MultiWord,2.4994792968420665,4.0,2,1,2
strike term,,MultiWord,2.4994792968420665,4.0,1,3,1
bajd,,SingleWord,2.4994792968420665,4.0,4,0,4
separate trading,,MultiWord,2.4994792968420665,4.0,1,3,1
xals,,SingleWord,2.4994792968420665,4.0,4,0,4
xalt,,SingleWord,2.4994792968420665,4.0,4,0,4
baip,,SingleWord,2.4994792968420665,4.0,4,0,4
entityvalidationlevelpartiallycorroborated,,SingleWord,2.4994792968420665,4.0,4,0,4
baht,,SingleWord,2.4994792968420665,4.0,7,0,4
magm,,SingleWord,2.4994792968420665,4.0,4,0,4
xafr,,SingleWord,2.4994792968420665,4.0,4,0,4
maybe,,SingleWord,2.4994792968420665,4.0,4,0,4
xafx,,SingleWord,2.4994792968420665,4.0,4,0,4
manl,,SingleWord,2.4994792968420665,4.0,4,0,4
band,,SingleWord,2.4994792968420665,4.0,3,1,2
malx,,SingleWord,2.4994792968420665,4.0,4,0,4
time certificate,,MultiWord,2.4994792968420665,4.0,2,1,2
malm,,SingleWord,2.4994792968420665,4.0,4,0,4
xaim,,SingleWord,2.4994792968420665,4.0,4,0,4
makx,,SingleWord,2.4994792968420665,4.0,4,0,4
depositorytrustandclearingcorporation,,SingleWord,2.4994792968420665,4.0,4,0,4
bace,,SingleWord,2.4994792968420665,4.0,4,0,4
sstx,,SingleWord,2.4994792968420665,4.0,4,0,4
xadf,,SingleWord,2.4994792968420665,4.0,4,0,4
baad,,SingleWord,2.4994792968420665,4.0,4,0,4
xads,,SingleWord,2.4994792968420665,4.0,4,0,4
contractualelement,,SingleWord,2.4994792968420665,4.0,2,1,2
creditratingscale,,SingleWord,2.4994792968420665,4.0,2,1,2
mael,,SingleWord,2.4994792968420665,4.0,4,0,4
hsxa,,SingleWord,2.4994792968420665,4.0,4,0,4
comorian,,SingleWord,2.4994792968420665,4.0,4,0,4
baep,,SingleWord,2.4994792968420665,4.0,4,0,4
xabc,,SingleWord,2.4994792968420665,4.0,4,0,4
macb,,SingleWord,2.4994792968420665,4.0,4,0,4
hermit,,SingleWord,2.4994792968420665,4.0,4,0,4
carry,,SingleWord,2.4994792968420665,4.0,4,0,4
maxd,,SingleWord,2.4994792968420665,4.0,4,0,4
urbanconsumersuniverse,,SingleWord,2.4994792968420665,4.0,4,0,4
bban,,SingleWord,2.4994792968420665,4.0,4,0,4
fnlt,,SingleWord,2.4994792968420665,4.0,4,0,4
stra,,SingleWord,2.4994792968420665,4.0,2,1,2
fnlv,,SingleWord,2.4994792968420665,4.0,4,0,4
ruralroute,,SingleWord,2.4994792968420665,4.0,2,1,2
dhel,,SingleWord,2.4994792968420665,4.0,4,0,4
hills,,SingleWord,2.4994792968420665,4.0,4,0,4
dominican,,SingleWord,2.4994792968420665,4.0,4,0,4
european government,,MultiWord,2.4994792968420665,4.0,4,0,4
stox,,SingleWord,2.4994792968420665,4.0,4,0,4
fnix,,SingleWord,2.4994792968420665,4.0,4,0,4
basx,,SingleWord,2.4994792968420665,4.0,4,0,4
masg,,SingleWord,2.4994792968420665,4.0,4,0,4
statisticalinformationpublisher,,SingleWord,2.4994792968420665,4.0,2,1,2
basi,,SingleWord,2.4994792968420665,4.0,4,0,4
basp,,SingleWord,2.4994792968420665,4.0,4,0,4
barx,,SingleWord,2.4994792968420665,4.0,4,0,4
maqu,,SingleWord,2.4994792968420665,4.0,4,0,4
maqx,,SingleWord,2.4994792968420665,4.0,4,0,4
maql,,SingleWord,2.4994792968420665,4.0,4,0,4
barl,,SingleWord,2.4994792968420665,4.0,4,0,4
maqe,,SingleWord,2.4994792968420665,4.0,4,0,4
maqj,,SingleWord,2.4994792968420665,4.0,4,0,4
downgrade,,SingleWord,2.4994792968420665,4.0,5,0,4
maqh,,SingleWord,2.4994792968420665,4.0,4,0,4
bluffs,,SingleWord,2.4994792968420665,4.0,4,0,4
bapx,,SingleWord,2.4994792968420665,4.0,4,0,4
bape,,SingleWord,2.4994792968420665,4.0,4,0,4
bapa,,SingleWord,2.4994792968420665,4.0,4,0,4
fnee,,SingleWord,2.4994792968420665,4.0,4,0,4
valleys,,SingleWord,2.4994792968420665,4.0,4,0,4
ålands,,SingleWord,2.4994792968420665,4.0,2,1,2
fndk,,SingleWord,2.4994792968420665,4.0,4,0,4
xapa,,SingleWord,2.4994792968420665,4.0,4,0,4
commodity swap,,MultiWord,2.4994792968420665,4.0,2,1,2
first name,,MultiWord,2.4994792968420665,4.0,2,1,2
matx,,SingleWord,2.4994792968420665,4.0,4,0,4
bats,,SingleWord,2.4994792968420665,4.0,4,0,4
actual number of day in each month,,MultiWord,2.4994792968420665,4.0,4,0,4
stfx,,SingleWord,2.4994792968420665,4.0,4,0,4
fltr,,SingleWord,2.4994792968420665,4.0,4,0,4
different group,,MultiWord,2.4994792968420665,4.0,2,1,2
fltb,,SingleWord,2.4994792968420665,4.0,4,0,4
federalgovernmentofmexico,,SingleWord,2.4994792968420665,4.0,4,0,4
jurisdictionofukraine jurisdiction,,MultiWord,2.4994792968420665,4.0,2,1,2
caspian sea,,MultiWord,2.4994792968420665,4.0,4,0,4
flats,,SingleWord,2.4994792968420665,4.0,4,0,4
flwx,,SingleWord,2.4994792968420665,4.0,4,0,4
singlevotingshare,,SingleWord,2.4994792968420665,4.0,2,1,2
indexfuture,,SingleWord,2.4994792968420665,4.0,4,0,4
currencystrategy,,SingleWord,2.4994792968420665,4.0,2,1,2
periodic payment,,MultiWord,2.4994792968420665,4.0,4,0,4
hmda-report,,SingleWord,2.4994792968420665,4.0,4,0,4
nationalinformationcenterrepository,,SingleWord,2.4994792968420665,4.0,4,0,4
datetime datatype,,MultiWord,2.4994792968420665,4.0,1,3,1
productsandservicesmodule copyright,,MultiWord,2.4994792968420665,4.0,2,1,2
party module,,MultiWord,2.4994792968420665,4.0,2,1,2
ssob,,SingleWord,2.4994792968420665,4.0,4,0,4
ssme,,SingleWord,2.4994792968420665,4.0,4,0,4
fund order desk,,MultiWord,2.4994792968420665,4.0,2,1,2
europeanexerciseconvention,,SingleWord,2.4994792968420665,4.0,2,1,2
hsbt,,SingleWord,2.4994792968420665,4.0,4,0,4
market category,,MultiWord,2.4994792968420665,4.0,2,1,2
bsdrheadquartersaddress,,SingleWord,2.4994792968420665,4.0,4,0,4
packaging,,SingleWord,2.4994792968420665,4.0,2,1,2
opendate,,SingleWord,2.4994792968420665,4.0,2,1,2
difference between the stated redemption price at maturity,,MultiWord,2.4994792968420665,4.0,2,1,2
letterofcredit letter,,MultiWord,2.4994792968420665,4.0,2,1,2
chiefexecutiveofficer,,SingleWord,2.4994792968420665,4.0,4,0,4
hsfx,,SingleWord,2.4994792968420665,4.0,4,0,4
deka,,SingleWord,2.4994792968420665,4.0,4,0,4
functionalentitiesmodule copyright,,MultiWord,2.4994792968420665,4.0,4,0,4
jurisdictionoflatvia jurisdiction,,MultiWord,2.4994792968420665,4.0,2,1,2
financialinstrumentglobalidentifier,,SingleWord,2.4994792968420665,4.0,4,0,4
tunisian,,SingleWord,2.4994792968420665,4.0,4,0,4
afghanus,,SingleWord,2.4994792968420665,4.0,4,0,4
omanus,,SingleWord,2.4994792968420665,4.0,4,0,4
luxembourgdepositaryreceipt,,SingleWord,2.4994792968420665,4.0,4,0,4
member bank,,MultiWord,2.4994792968420665,4.0,2,1,2
squa,,SingleWord,2.4994792968420665,4.0,4,0,4
knolls,,SingleWord,2.4994792968420665,4.0,4,0,4
civiliannoninstitutionalpopulation,,SingleWord,2.4994792968420665,4.0,4,0,4
equal amount,,MultiWord,2.4994792968420665,4.0,1,3,1
jurisdictionofafghanistan jurisdiction,,MultiWord,2.4994792968420665,4.0,2,1,2
rupiah,,SingleWord,2.4994792968420665,4.0,7,0,4
interbankofferedrate,,SingleWord,2.4994792968420665,4.0,2,1,2
jurisdictionofparaguay jurisdiction,,MultiWord,2.4994792968420665,4.0,2,1,2
businessidentifiercodedatarecord,,SingleWord,2.4994792968420665,4.0,4,0,4
averageearnings,,SingleWord,2.4994792968420665,4.0,4,0,4
astus,,SingleWord,2.4994792968420665,4.0,4,0,4
atapremium,,SingleWord,2.4994792968420665,4.0,4,0,4
unemployedpopulation,,SingleWord,2.4994792968420665,4.0,4,0,4
jurisdictionofthecaymanislands jurisdiction,,MultiWord,2.4994792968420665,4.0,2,1,2
high court of cassation,,MultiWord,2.4994792968420665,4.0,1,3,1
given situation,,MultiWord,2.4994792968420665,4.0,4,0,4
hrfq,,SingleWord,2.4994792968420665,4.0,4,0,4
hasquotationdate,,SingleWord,2.4994792968420665,4.0,4,0,4
rate security,,MultiWord,2.4994792968420665,4.0,2,1,2
pre-set period,,MultiWord,2.4994792968420665,4.0,2,1,2
hreu,,SingleWord,2.4994792968420665,4.0,4,0,4
dansk,,SingleWord,2.4994792968420665,4.0,4,0,4
temporalrelation module,,MultiWord,2.4994792968420665,4.0,2,1,2
sptr,,SingleWord,2.4994792968420665,4.0,4,0,4
refine,,SingleWord,2.4994792968420665,4.0,2,1,2
predirectional,,SingleWord,2.4994792968420665,4.0,4,0,4
odoc,,SingleWord,2.4994792968420665,4.0,4,0,4
jurisdictionofguernsey jurisdiction,,MultiWord,2.4994792968420665,4.0,2,1,2
delisting,,SingleWord,2.4994792968420665,4.0,4,0,4
market place,,MultiWord,2.4994792968420665,4.0,2,1,2
physical commodity,,MultiWord,2.4994792968420665,4.0,5,0,4
additional detail for equities,,MultiWord,2.4994792968420665,4.0,4,0,4
online,,SingleWord,2.4994792968420665,4.0,4,0,4
renunciation,,SingleWord,2.4994792968420665,4.0,3,1,2
maximum number,,MultiWord,2.4994792968420665,4.0,5,1,2
currencyforward,,SingleWord,2.4994792968420665,4.0,4,0,4
maximumanticipatedbalance,,SingleWord,2.4994792968420665,4.0,2,1,2
sprz,,SingleWord,2.4994792968420665,4.0,4,0,4
qualifyingdividendperiod,,SingleWord,2.4994792968420665,4.0,2,1,2
central tendency,,MultiWord,2.4994792968420665,4.0,5,0,4
relatedspecification,,SingleWord,2.4994792968420665,4.0,2,1,2
other organization,,MultiWord,2.4994792968420665,4.0,4,0,4
specialdrawingright,,SingleWord,2.4994792968420665,4.0,4,0,4
remittancereport,,SingleWord,2.4994792968420665,4.0,2,1,2
jurisdictionofguatemala jurisdiction,,MultiWord,2.4994792968420665,4.0,2,1,2
analytical measure,,MultiWord,2.4994792968420665,4.0,1,3,1
hastranche,,SingleWord,2.4994792968420665,4.0,4,0,4
sek-stibor-reference,,SingleWord,2.4994792968420665,4.0,4,0,4
separate derivative domain area,,MultiWord,2.4994792968420665,4.0,4,0,4
selection list,,MultiWord,2.4994792968420665,4.0,2,1,2
stated redemption price at maturity,,MultiWord,2.4994792968420665,4.0,2,1,2
multiple account,,MultiWord,2.4994792968420665,4.0,2,1,2
bahrainus,,SingleWord,2.4994792968420665,4.0,4,0,4
ledgeraccount,,SingleWord,2.4994792968420665,4.0,2,1,2
closing date,,MultiWord,2.4994792968420665,4.0,4,0,4
usd-prime-h,,SingleWord,2.4994792968420665,4.0,4,0,4
credit quality,,MultiWord,2.4994792968420665,4.0,2,1,2
aspn,,SingleWord,2.4994792968420665,4.0,4,0,4
malaysian,,SingleWord,2.4994792968420665,4.0,4,0,4
sgas,,SingleWord,2.4994792968420665,4.0,4,0,4
nmlsr-id,,SingleWord,2.4994792968420665,4.0,4,0,4
scottish,,SingleWord,2.4994792968420665,4.0,4,0,4
reate,,SingleWord,2.4994792968420665,4.0,2,1,2
commoncoderegistryentry,,SingleWord,2.4994792968420665,4.0,2,1,2
wsil,,SingleWord,2.4994792968420665,4.0,4,0,4
market model,,MultiWord,2.4994792968420665,4.0,2,1,2
czk-pribor-reference,,SingleWord,2.4994792968420665,4.0,4,0,4
asmt,,SingleWord,2.4994792968420665,4.0,4,0,4
relevant obligation,,MultiWord,2.4994792968420665,4.0,2,1,2
purchasing,,SingleWord,2.4994792968420665,4.0,2,1,2
the 'end node,,MultiWord,2.4994792968420665,4.0,4,0,4
astroid,,SingleWord,2.4994792968420665,4.0,4,0,4
fullypaidsharestatus,,SingleWord,2.4994792968420665,4.0,2,1,2
congress,,SingleWord,2.4994792968420665,4.0,6,0,4
writer,,SingleWord,2.4994792968420665,4.0,4,0,4
individual unit,,MultiWord,2.4994792968420665,4.0,2,1,2
specialixed type,,MultiWord,2.4994792968420665,4.0,1,3,1
jurisdictionofthesocialistrepublicofvietnam jurisdiction,,MultiWord,2.4994792968420665,4.0,2,1,2
sgma,,SingleWord,2.4994792968420665,4.0,4,0,4
anchor,,SingleWord,2.4994792968420665,4.0,2,1,2
matrix,,SingleWord,2.4994792968420665,4.0,4,0,4
transactiondate,,SingleWord,2.4994792968420665,4.0,2,1,2
institution reform,,MultiWord,2.4994792968420665,4.0,2,1,2
bengal,,SingleWord,2.4994792968420665,4.0,4,0,4
national government,,MultiWord,2.4994792968420665,4.0,4,0,4
sgmy,,SingleWord,2.4994792968420665,4.0,4,0,4
sgmz,,SingleWord,2.4994792968420665,4.0,4,0,4
sgmw,,SingleWord,2.4994792968420665,4.0,4,0,4
sgmx,,SingleWord,2.4994792968420665,4.0,4,0,4
sgmv,,SingleWord,2.4994792968420665,4.0,4,0,4
nine-member supreme court,,MultiWord,2.4994792968420665,4.0,1,3,1
automobile,,SingleWord,2.4994792968420665,4.0,4,0,4
several island,,MultiWord,2.4994792968420665,4.0,2,1,2
cxrt,,SingleWord,2.4994792968420665,4.0,4,0,4
jleu,,SingleWord,2.4994792968420665,4.0,4,0,4
sfcl,,SingleWord,2.4994792968420665,4.0,4,0,4
jurisdictionofuruguay jurisdiction,,MultiWord,2.4994792968420665,4.0,2,1,2
duchy,,SingleWord,2.4994792968420665,4.0,2,1,2
jurisdictionofcroatia jurisdiction,,MultiWord,2.4994792968420665,4.0,2,1,2
tax authority,,MultiWord,2.4994792968420665,4.0,2,1,2
doctrine,,SingleWord,2.4994792968420665,4.0,2,1,2
review session note,,MultiWord,2.4994792968420665,4.0,4,0,4
eurasian,,SingleWord,2.4994792968420665,4.0,4,0,4
contractual standing,,MultiWord,2.4994792968420665,4.0,4,0,4
bluenext,,SingleWord,2.4994792968420665,4.0,4,0,4
cxot,,SingleWord,2.4994792968420665,4.0,4,0,4
nyfx,,SingleWord,2.4994792968420665,4.0,4,0,4
eur-euribor-reference,,SingleWord,2.4994792968420665,4.0,4,0,4
swapstreaminterestratesettingevent,,SingleWord,2.4994792968420665,4.0,2,1,2
missing label,,MultiWord,2.4994792968420665,4.0,4,0,4
virgin island,,MultiWord,2.4994792968420665,4.0,4,0,4
transmitter,,SingleWord,2.4994792968420665,4.0,2,1,2
