Term,Lang,Type,kyotoDomainRelevance,kyotoDomainRelevance.raw,termFrequency,hyponymCount,localDocFrequency
identifier,,SingleWord,100.0,446160.0,2891,155,2860
division,,SingleWord,100.0,3420.0,99,35,95
basket,,SingleWord,100.0,3052.0,159,27,109
euronext,,SingleWord,100.0,3472.0,130,30,112
policy,,SingleWord,100.0,3069.0,108,30,99
member,,SingleWord,100.0,4646.0,121,45,101
module,,SingleWord,100.0,8910.0,315,32,270
option,,SingleWord,100.0,66024.0,1034,71,917
duration,,SingleWord,100.0,3441.0,119,36,93
convention,,SingleWord,100.0,3850.0,123,34,110
equity,,SingleWord,100.0,10116.0,316,35,281
basis,,SingleWord,100.0,4995.0,130,44,111
address,,SingleWord,100.0,16632.0,305,62,264
association,,SingleWord,100.0,4814.0,175,28,166
unit,,SingleWord,100.0,19388.0,342,73,262
relation,,SingleWord,100.0,4110.0,211,29,137
credit,,SingleWord,100.0,3010.0,550,6,430
income,,SingleWord,100.0,7315.0,395,18,385
range,,SingleWord,100.0,3200.0,84,39,80
contract,,SingleWord,100.0,59599.0,801,106,557
agent,,SingleWord,100.0,4182.0,163,33,123
distribution,,SingleWord,100.0,3780.0,147,26,140
issuer,,SingleWord,100.0,12927.0,500,30,417
process,,SingleWord,100.0,7380.0,243,35,205
classifier,,SingleWord,100.0,4920.0,121,40,120
derivative,,SingleWord,100.0,14245.0,429,36,385
structure,,SingleWord,100.0,5687.0,134,46,121
requirement,,SingleWord,100.0,3354.0,92,38,86
system,,SingleWord,100.0,30660.0,333,104,292
republic,,SingleWord,100.0,5252.0,212,25,202
index,,SingleWord,100.0,42237.0,845,56,741
district,,SingleWord,100.0,3708.0,121,35,103
term,,SingleWord,100.0,128050.0,819,196,650
organization,,SingleWord,100.0,23688.0,425,71,329
equities,,SingleWord,100.0,8238.0,1403,5,1373
ownership,,SingleWord,100.0,8322.0,268,37,219
service,,SingleWord,100.0,40053.0,584,78,507
kind,,SingleWord,100.0,13800.0,169,91,150
amount,,SingleWord,100.0,53508.0,462,155,343
bond,,SingleWord,100.0,81423.0,1067,108,747
period,,SingleWord,100.0,26857.0,302,106,251
party,,SingleWord,100.0,184072.0,1628,151,1211
registry,,SingleWord,100.0,6216.0,238,27,222
swap,,SingleWord,100.0,24920.0,1076,34,712
exchange,,SingleWord,100.0,110330.0,1376,84,1298
document,,SingleWord,100.0,5439.0,191,36,147
currency,,SingleWord,100.0,21853.0,606,40,533
commitment,,SingleWord,100.0,4114.0,148,33,121
form,,SingleWord,100.0,14208.0,217,73,192
fpml,,SingleWord,100.0,4152.0,707,5,692
http,,SingleWord,100.0,9.0424939E7,38846,2452,36863
action,,SingleWord,100.0,5750.0,242,24,230
management,,SingleWord,100.0,8600.0,350,24,344
investor,,SingleWord,100.0,7421.0,213,40,181
datum,,SingleWord,100.0,8398.0,251,37,221
obligation,,SingleWord,100.0,22620.0,337,86,260
fund,,SingleWord,100.0,48617.0,1239,60,797
report,,SingleWord,100.0,5280.0,164,32,160
quantity,,SingleWord,100.0,3441.0,153,36,93
bolsa,,SingleWord,100.0,6554.0,116,57,113
provider,,SingleWord,99.99999999999996,2938.0,118,25,113
activity,,SingleWord,99.99999999999996,2890.0,95,33,85
ind,,SingleWord,99.99999999999996,2932.0,3027,0,2932
supreme court,,MultiWord,99.99999999999987,2809.0,53,52,53
record,,SingleWord,99.99999999999987,2808.0,114,26,104
detail,,SingleWord,99.99999999999964,2716.0,104,27,97
certificate,,SingleWord,99.99999999999946,2688.0,104,31,84
settlement,,SingleWord,99.99999999999929,2660.0,246,13,190
rights,,SingleWord,99.99999999999929,2660.0,114,27,95
holding,,SingleWord,99.99999999999925,2656.0,86,31,83
mortgage,,SingleWord,99.99999999999925,2656.0,221,15,166
island,,SingleWord,99.9999999999992,2652.0,124,25,102
specification,,SingleWord,99.9999999999988,2620.0,185,19,131
rule,,SingleWord,99.99999999999831,2592.0,112,26,96
tranche,,SingleWord,99.99999999999804,2580.0,190,19,129
trust,,SingleWord,99.99999999999733,2556.0,257,11,213
leg,,SingleWord,99.99999999999632,2530.0,122,22,110
method,,SingleWord,99.99999999999609,2525.0,108,24,101
cash,,SingleWord,99.9999999999908,2457.0,221,12,189
default,,SingleWord,99.9999999999901,2451.0,192,18,129
owner,,SingleWord,99.9999999999646,2349.0,97,26,87
delivery,,SingleWord,99.99999999995622,2332.0,125,21,106
condition,,SingleWord,99.99999999994516,2314.0,113,25,89
judiciary,,SingleWord,99.99999999993547,2301.0,183,12,177
portfolio,,SingleWord,99.99999999984719,2232.0,114,23,93
source,,SingleWord,99.99999999980128,2211.0,68,32,67
entry,,SingleWord,99.99999999974163,2190.0,149,14,146
identification,,SingleWord,99.99999999951731,2140.0,115,19,107
power,,SingleWord,99.99999999947975,2134.0,109,21,97
way,,SingleWord,99.9999999994178,2125.0,93,24,85
future,,SingleWord,99.99999999931504,2112.0,215,10,192
redemption,,SingleWord,99.99999999920419,2100.0,148,14,140
standard,,SingleWord,99.9999999990401,2085.0,143,14,139
board,,SingleWord,99.99999999891229,2075.0,98,24,83
reserve,,SingleWord,99.99999999875193,2064.0,204,11,172
designation,,SingleWord,99.99999999868794,2060.0,104,19,103
deposit,,SingleWord,99.9999999983153,2040.0,135,23,85
ltd,,SingleWord,99.9999999983153,2040.0,256,7,255
interest rate,,MultiWord,99.99999999804268,2028.0,87,25,78
interestrates,,SingleWord,99.99999999629723,1977.0,2104,0,1977
money,,SingleWord,99.99999999350142,1932.0,174,11,161
description,,SingleWord,99.9999999907781,1904.0,75,27,68
business center,,MultiWord,99.99999998755169,1880.0,189,9,188
governmententities,,SingleWord,99.99999997842397,1836.0,1947,0,1836
year,,SingleWord,99.99999996616205,1800.0,178,11,150
interval,,SingleWord,99.9999999626033,1792.0,63,31,56
liability,,SingleWord,99.99999995762394,1782.0,101,21,81
commoninterestrates,,SingleWord,99.99999995257815,1773.0,1773,0,1773
places,,SingleWord,99.99999995137765,1771.0,1771,0,1771
maturity date,,MultiWord,99.99999994421063,1760.0,111,15,110
der,,SingleWord,99.99999993518203,1748.0,1795,0,1748
debt instrument,,MultiWord,99.9999999310016,1743.0,92,20,83
population,,SingleWord,99.99999993013371,1742.0,78,25,67
yield,,SingleWord,99.99999992836504,1740.0,124,19,87
northamericanentities,,SingleWord,99.9999999265516,1738.0,1738,0,1738
strategy,,SingleWord,99.99999991677204,1728.0,68,26,64
partner,,SingleWord,99.99999989834514,1712.0,119,15,107
partnership,,SingleWord,99.99999984834878,1680.0,269,13,120
month,,SingleWord,99.99999956663376,1596.0,153,13,114
feature,,SingleWord,99.99999951503185,1587.0,74,22,69
internaliser,,SingleWord,99.99999950893171,1586.0,793,1,793
objective,,SingleWord,99.99999947068528,1580.0,89,19,79
transfer,,SingleWord,99.99999933712714,1562.0,79,21,71
end,,SingleWord,99.99999926741219,1554.0,82,20,74
classification,,SingleWord,99.9999992004227,1547.0,131,12,119
characteristic,,SingleWord,99.99999905933863,1534.0,60,25,59
difference,,SingleWord,99.99999901110992,1530.0,59,29,51
issuance,,SingleWord,99.99999869809587,1508.0,130,12,116
resource,,SingleWord,99.99999856117338,1500.0,86,19,75
province,,SingleWord,99.99999832832198,1488.0,63,23,62
cdo,,SingleWord,99.99999790651965,1470.0,130,20,70
currencycodes,,SingleWord,99.99999706611375,1443.0,1443,0,1443
borrower,,SingleWord,99.99999702921,1442.0,130,13,103
percentage,,SingleWord,99.99999618543016,1422.0,96,17,79
industry,,SingleWord,99.99999608886385,1420.0,164,9,142
northamerica,,SingleWord,99.9999927838044,1371.0,1373,0,1371
sko,,SingleWord,99.99999222177718,1365.0,150,12,105
sale,,SingleWord,99.99999222177718,1365.0,104,14,91
tax,,SingleWord,99.9999876478781,1328.0,119,15,83
line,,SingleWord,99.99998733518267,1326.0,55,25,51
